id,value
id_0,26.628433
id_1,62.78723
id_2,19.863702
id_3,29.767332
id_4,10.010194
id_5,36.359936
id_6,39.868606
id_7,16.10917
id_8,49.50796
id_9,33.485628
id_10,39.519514
id_11,59.180684
id_12,37.833025
id_13,42.057783
id_14,28.150263
id_15,12.579851
id_16,53.690408
id_17,23.22258
id_18,19.261612
id_19,19.780887
id_20,14.638505
id_21,28.493145
id_22,38.128269
id_23,10.65889
id_24,59.294818
id_25,44.727516
id_26,28.51432
id_27,8.771434
id_28,29.165646
id_29,36.079344
id_30,18.524082
id_31,11.762405
id_32,16.279818
id_33,7.887497
id_34,18.48667
id_35,39.240683
id_36,19.797482
id_37,28.344261
id_38,5.696565
id_39,60.527063
id_40,46.957904
id_41,17.42798
id_42,50.454536
id_43,18.556647
id_44,43.871566
id_45,51.973873
id_46,63.018477
id_47,40.904383
id_48,51.552708
id_49,42.232952
id_50,31.021331
id_51,25.387467
id_52,41.106088
id_53,25.709221
id_54,38.474695
id_55,39.790706
id_56,25.393261
id_57,22.244291
id_58,37.782909
id_59,31.770842
id_60,15.150138
id_61,23.071688
id_62,31.763514
id_63,55.686148
id_64,50.13499
id_65,27.063326
id_66,42.234822
id_67,54.750489
id_68,28.430053
id_69,40.287053
id_70,65.951848
id_71,54.340021
id_72,45.113011
id_73,10.988306
id_74,12.347479
id_75,37.296669
id_76,62.148008
id_77,2.657139
id_78,45.86279
id_79,41.429064
id_80,7.818987
id_81,22.135243
id_82,7.215896
id_83,34.092197
id_84,10.868405
id_85,4.787514
id_86,16.010841
id_87,11.129632
id_88,12.998828
id_89,27.85649
id_90,30.105149
id_91,11.048764
id_92,13.573794
id_93,7.426171
id_94,36.486557
id_95,15.898936
id_96,15.269554
id_97,8.190663
id_98,10.424014
id_99,3.613624
id_100,12.657572
id_101,17.95694
id_102,10.945271
id_103,5.111088
id_104,13.937961
id_105,36.710141
id_106,27.448392
id_107,7.698313
id_108,16.46374
id_109,16.195789
id_110,13.830991
id_111,17.486378
id_112,12.831445
id_113,28.189927
id_114,23.023202
id_115,15.01186
id_116,9.118266
id_117,44.72499
id_118,30.634455
id_119,0.981265
id_120,1.682064
id_121,11.795885
id_122,15.513033
id_123,15.440277
id_124,5.999505
id_125,26.869073
id_126,21.783372
id_127,12.952465
id_128,20.39935
id_129,17.665904
id_130,3.731289
id_131,36.535991
id_132,14.187164
id_133,28.085028
id_134,24.001644
id_135,21.056938
id_136,10.111114
id_137,19.998612
id_138,78.688683
id_139,64.763207
id_140,27.449319
id_141,17.332198
id_142,25.107953
id_143,7.775508
id_144,11.902612
id_145,10.384694
id_146,21.761746
id_147,7.156466
id_148,13.499371
id_149,16.665854
id_150,51.347793
id_151,21.32403
id_152,24.491034
id_153,15.332147
id_154,14.145547
id_155,27.477236
id_156,21.295239
id_157,34.425243
id_158,3.037709
id_159,19.542661
id_160,44.686403
id_161,18.809765
id_162,57.05747
id_163,19.550102
id_164,37.134109
id_165,24.778168
id_166,21.49289
id_167,0.562463
id_168,67.772988
id_169,17.940135
id_170,17.61979
id_171,69.645793
id_172,20.635382
id_173,2.154226
id_174,24.43577
id_175,1.860057
id_176,6.103967
id_177,19.779529
id_178,20.534415
id_179,20.908787
id_180,43.501553
id_181,27.026386
id_182,29.935533
id_183,12.294136
id_184,8.660545
id_185,41.985503
id_186,37.342454
id_187,32.95667
id_188,16.074255
id_189,21.637735
id_190,14.626893
id_191,14.563335
id_192,33.525323
id_193,80.315481
id_194,29.736884
id_195,11.528086
id_196,62.740129
id_197,15.142513
id_198,19.443928
id_199,24.117558
id_200,127.594142
id_201,27.102477
id_202,59.788089
id_203,5.21497
id_204,63.899024
id_205,35.648806
id_206,17.266675
id_207,15.004504
id_208,64.741604
id_209,15.034852
id_210,29.67843
id_211,73.666893
id_212,20.385383
id_213,122.040387
id_214,40.051631
id_215,83.846627
id_216,94.332637
id_217,72.011728
id_218,29.441031
id_219,20.173378
id_220,31.907555
id_221,56.651828
id_222,28.937453
id_223,39.575395
id_224,45.442944
id_225,7.946343
id_226,4.359348
id_227,70.437224
id_228,28.711914
id_229,1.162939
id_230,39.975056
id_231,14.733673
id_232,21.580662
id_233,8.615075
id_234,11.300636
id_235,21.970701
id_236,12.043362
id_237,-0.120177
id_238,21.947581
id_239,0.437677
