id,label
1,0.369941
2,0.371439
3,0.298903
4,0.325755
5,0.262279
6,0.165934
7,0.283256
8,0.026001
9,0.045665
10,0.240002
11,0.308131
12,0.346737
13,0.127097
14,0.341787
15,0.343243
16,0.351357
17,0.281142
18,0.205961
19,0.210690
20,0.328414
21,0.175583
22,0.309445
23,0.223563
24,0.105417
25,0.119603
26,0.002968
27,0.258891
28,0.002569
29,0.329910
30,0.046171
31,0.274319
32,0.205187
33,0.009537
34,0.088094
35,0.027251
36,0.361775
37,0.346400
38,0.013030
39,0.008786
40,0.014616
41,0.271708
42,0.361718
43,0.326936
44,0.131497
45,0.381976
46,0.086745
47,0.308841
48,0.335566
49,0.036055
50,0.216531
51,0.125904
52,0.244545
53,0.137924
54,0.003084
55,0.138348
56,0.109216
57,0.337757
58,0.197135
59,0.354750
60,0.291957
61,0.054521
62,0.282136
63,0.115801
64,0.378198
65,0.287845
66,0.149563
67,0.411149
68,0.130782
69,0.257353
70,0.347185
71,0.387125
72,0.285214
73,0.160357
74,0.004969
75,0.345032
76,0.031351
77,0.412645
78,0.010136
79,0.260405
80,0.067882
81,0.368462
82,0.056330
83,0.055638
84,0.363019
85,0.144118
86,0.206328
87,0.293423
88,0.365422
89,0.083384
90,0.145138
91,0.060158
92,0.023340
93,0.037539
94,0.501839
95,0.182307
96,0.015521
97,0.136254
98,0.389592
99,0.196544
100,0.028664
101,0.043359
102,0.291789
103,0.353943
104,0.294450
105,0.167365
106,0.222883
107,0.350432
108,0.314980
109,0.312117
110,0.057920
111,0.021781
112,0.246119
113,0.203273
114,0.201752
115,0.354792
116,0.106194
117,0.380291
118,0.128123
119,0.255163
120,0.215483
121,0.013377
122,0.261491
123,0.216728
124,0.147627
125,0.124616
126,0.011924
127,0.308984
128,0.311995
129,0.002311
130,0.328994
131,0.358725
132,0.046272
133,0.007698
134,0.180941
135,0.342259
136,0.230930
137,0.064158
138,0.280828
139,0.183104
140,0.080490
141,0.292655
142,0.233023
143,0.322264
144,0.290287
145,0.263770
146,0.366589
