id,price_doc
30474,5164479.0
30475,7385937.5
30476,5119652.5
30477,6722091.5
30478,5603005.0
30479,8221267.0
30480,4275540.5
30481,3909203.75
30482,4641483.5
30483,5140122.0
30484,6842008.5
30485,4947925.5
30486,4643428.5
30487,3933249.0
30488,5361861.5
30489,5764869.0
30490,17933604.0
30491,13574081.0
30492,4730561.5
30493,11338969.0
30494,7419437.5
30495,11592836.0
30496,7376212.0
30497,7457254.0
30498,4417349.0
30499,8452960.0
30500,12016913.0
30501,6741112.5
30502,3559415.75
30503,5316271.5
30504,5960287.0
30505,10904946.0
30506,3174644.0
30507,4579398.0
30508,4705662.0
30509,7067694.0
30510,9145705.0
30511,5323266.5
30512,5549412.0
30513,4259771.0
30514,3281130.0
30515,9495831.0
30516,5391175.5
30517,10955858.0
30518,7646824.5
30519,4954605.5
30520,7186470.0
30521,6381074.0
30522,7579800.0
30523,5742361.0
30524,6797213.5
30525,18796666.0
30526,5132167.5
30527,5166339.0
30528,5887348.5
30529,5920516.0
30530,5701765.0
30531,12830171.0
30532,4658449.5
30533,12676313.0
30534,6723983.0
30535,9130489.0
30536,5985599.5
30537,9987091.0
30538,4737320.5
30539,7324644.0
30540,9454897.0
30541,6682625.5
30542,3172835.25
30543,4838052.5
30544,6247651.5
30545,8063569.0
30546,4841923.5
30547,9115346.0
30548,4959834.5
30549,4735080.0
30550,9902471.0
30551,5152177.5
30552,3172835.25
30553,8577843.0
30554,10331947.0
30555,5991568.5
30556,7955482.0
30557,6510298.5
30558,7510297.5
30559,6673232.5
30560,5971018.5
30561,6098634.0
30562,11487205.0
30563,4570587.5
30564,6046725.0
30565,6020819.0
30566,6705520.5
30567,3172835.25
30568,7158160.0
30569,7508005.5
30570,6091931.0
30571,8110352.0
30572,4711405.0
30573,7315123.5
30574,6150955.5
30575,8726098.0
30576,4100208.25
30577,3736362.75
30578,3173751.75
30579,6793283.5
30580,4441765.5
30581,5492593.0
30582,12108014.0
30583,6657096.5
30584,4375340.5
30585,3560402.25
30586,9063578.0
30587,5369972.5
30588,6435100.5
30589,6740326.5
30590,10085266.0
30591,4416208.0
30592,5694439.5
30593,8852199.0
30594,6622755.5
30595,5548892.0
30596,5962591.5
30597,7317260.0
30598,9280632.0
30599,10625385.0
30600,5259755.0
30601,6150840.0
30602,3172835.25
30603,12536404.0
30604,4663431.0
30605,7917396.0
30606,12298908.0
30607,5978725.5
30608,8427819.0
30609,5741184.5
30610,3516164.0
30611,4906310.0
30612,6468908.5
30613,9923782.0
30614,17570280.0
30615,6910238.5
30616,5292866.5
30617,7254604.0
30618,4631387.0
30619,4349973.5
30620,3183489.75
30621,7985925.5
30622,10526420.0
30623,5280971.0
30624,6725122.0
30625,7556635.0
30626,4989310.0
30627,7759975.0
30628,7160188.5
30629,4577968.5
30630,4496839.5
30631,5684257.5
30632,4727604.5
30633,4716941.0
30634,9698672.0
30635,9397082.0
30636,5463604.5
30637,8800858.0
30638,6232129.5
30639,8710116.0
30640,4210079.5
30641,9013858.0
30642,6304229.5
30643,7256447.5
30644,9321762.0
30645,7146097.0
30646,4522558.0
30647,5071702.0
30648,24338816.0
30649,3178573.75
30650,4744534.5
30651,3175611.25
30652,4530293.0
30653,9075133.0
30654,4446975.0
30655,13247989.0
30656,3986971.25
30657,5809446.5
30658,9315324.0
30659,4737104.0
30660,7487523.5
30661,7359437.5
30662,8139605.0
30663,14817143.0
30664,13594618.0
30665,5855495.0
30666,3172835.25
30667,3994008.5
30668,8977857.0
30669,6070008.0
30670,3180960.75
30671,6605927.5
30672,16209877.0
30673,6933409.5
30674,12576885.0
30675,3172835.25
30676,6557987.0
30677,4125745.0
30678,13889967.0
30679,4861064.0
30680,5542849.5
30681,3172835.25
30682,7827496.0
30683,9818621.0
30684,4250174.5
30685,6637681.0
30686,9485076.0
30687,5328577.0
30688,4236781.0
30689,12283541.0
30690,24801360.0
30691,4314492.5
30692,5676281.5
30693,9280825.0
30694,5779996.5
30695,7388930.5
30696,5410732.5
30697,11059884.0
30698,6916540.5
30699,4799887.0
30700,4789875.5
30701,9293868.0
30702,5037937.0
30703,4059899.25
30704,10759380.0
30705,7373257.5
30706,24071116.0
30707,3240659.5
30708,13189949.0
30709,6616637.0
30710,6168644.0
30711,5192525.5
30712,3814479.75
30713,5880637.5
30714,6143612.0
30715,3615149.0
30716,9778693.0
30717,6303467.5
30718,7466355.5
30719,16686889.0
30720,6076405.0
30721,3867051.0
30722,7310502.0
30723,6139681.5
30724,9645343.0
30725,6021051.0
30726,11784937.0
30727,8950377.0
30728,9376473.0
30729,3336599.5
30730,5465395.5
30731,5393542.0
30732,4047398.25
30733,6658947.5
30734,6505370.5
30735,5629434.0
30736,5481973.0
30737,6285908.5
30738,5663150.5
30739,3172835.25
30740,6412253.0
30741,11082371.0
30742,4250334.5
30743,5305265.0
30744,9116569.0
