TestDataID,Rating
1,4.396698474884033
2,3.9997291564941406
3,4.369705677032471
4,2.6004185676574707
5,3.309375762939453
6,3.19468092918396
7,4.256816864013672
8,2.91286563873291
9,3.4127016067504883
10,2.2662482261657715
11,4.145170211791992
12,3.7547550201416016
13,3.4440560340881348
14,3.8250696659088135
15,3.1474037170410156
16,3.6811673641204834
17,3.8330445289611816
18,3.8571999073028564
19,3.9314794540405273
20,3.4849085807800293
21,3.5134735107421875
22,3.8836517333984375
23,4.222415924072266
24,3.2376551628112793
25,3.7303237915039062
26,3.0375566482543945
27,3.566887378692627
28,3.2974319458007812
29,1.8826491832733154
30,3.3824872970581055
31,2.314694881439209
32,2.9223029613494873
33,3.2677125930786133
34,3.015754222869873
35,4.240273475646973
36,3.985023021697998
37,4.0379462242126465
38,2.6068458557128906
39,3.5427401065826416
40,2.063431739807129
41,3.1938014030456543
42,3.76422381401062
43,2.5795540809631348
44,4.373995780944824
45,3.703341245651245
46,3.3999075889587402
47,3.0613603591918945
48,3.8795061111450195
49,3.898648500442505
50,3.706874370574951
51,4.0425214767456055
52,3.154439687728882
53,3.9776763916015625
54,5.07210636138916
55,4.868903160095215
56,3.528294563293457
57,4.378617286682129
58,2.90500545501709
59,4.238369464874268
60,3.7940027713775635
61,3.702120304107666
62,4.410758972167969
63,4.335158824920654
64,4.2454609870910645
65,4.658747673034668
66,3.9271583557128906
67,4.140295028686523
68,4.362260341644287
69,3.0621533393859863
70,4.4213080406188965
71,3.2264606952667236
72,4.234190940856934
73,3.0214929580688477
74,3.9570813179016113
75,2.5073535442352295
76,2.808307647705078
77,4.287946701049805
78,4.152324676513672
79,4.32897424697876
80,4.2348551750183105
81,4.3995466232299805
82,4.026372909545898
83,4.163487911224365
84,4.474125862121582
85,4.879219055175781
86,3.864238739013672
87,4.53726863861084
88,4.104137897491455
89,4.269853591918945
90,4.175613880157471
91,3.9532949924468994
92,3.991179943084717
93,4.186800956726074
94,4.675323009490967
95,4.4809699058532715
96,4.326445579528809
97,3.9050514698028564
98,4.491717338562012
99,4.247040748596191
100,4.5248212814331055
101,3.9161996841430664
102,3.9248812198638916
103,4.894859313964844
104,4.262849807739258
105,3.9394402503967285
106,4.179921627044678
107,3.8188562393188477
108,4.598496913909912
109,3.399855852127075
110,4.102291584014893
111,4.8230977058410645
112,4.485958099365234
113,4.425620079040527
114,3.444716453552246
115,4.101273059844971
116,2.2315239906311035
117,3.610105514526367
118,3.2211825847625732
119,3.2810440063476562
120,2.637995481491089
121,2.035282611846924
122,2.891648292541504
123,4.2038421630859375
124,2.3921332359313965
125,2.2743136882781982
126,4.423628330230713
127,4.07240629196167
128,4.320769786834717
129,3.1402480602264404
